-1, 0, -1, -1
-1, 1, -1, -1
-1, 2, -1, -1
0, 4, 2, 2.45
5, 6, 2, 5.05
7, 1, 0, 4.95
8, 2, 1, 2.75
1, 2, 2, 3.9
1, 2, 3, 1.7
10, 11, 3, 1.65
0, 12, 2, 2.45
13, 14, 3, 1.75
1, 15, 2, 4.95
2, 1, 1, 2.75
16, 2, 2, 4.85
2, 17, 2, 5.05
1, 2, 0, 5.95
1, 2, 2, 5.35
0, 19, 2, 2.45
20, 21, 0, 6.15
22, 23, 3, 1.7
24, 2, 3, 1.7
1, 25, 3, 1.35
26, 2, 2, 4.85
1, 2, 2, 5
2, 1, 1, 2.8
2, 1, 1, 3.1
0, 28, 2, 2.45
1, 29, 2, 4.85
30, 2, 2, 5.15
2, 31, 2, 5
2, 32, 0, 5.9
1, 2, 3, 1.95
0, 34, 3, 0.75
35, 36, 2, 5.05
37, 38, 3, 1.75
39, 2, 0, 6.05
2, 1, 0, 4.95
2, 1, 1, 3.1
2, 1, 0, 5.95
41, 42, 0, 5.55
0, 43, 3, 0.8
44, 45, 3, 1.75
1, 2, 3, 1.55
46, 0, 1, 3.6
47, 2, 2, 4.85
1, 2, 2, 5.05
1, 2, 0, 6.05
0, 49, 3, 0.8
50, 51, 2, 4.85
2, 1, 0, 5.2
52, 53, 1, 2.95
54, 2, 2, 5.2
55, 2, 1, 3.15
56, 2, 3, 1.7
1, 2, 2, 5.05
57, 2, 1, 2.75
58, 1, 0, 6.15
2, 1, 3, 1.55
0, 60, 3, 0.75
61, 62, 2, 4.75
63, 1, 1, 2.55
64, 2, 3, 1.75
1, 2, 1, 2.4
65, 66, 2, 5.05
2, 1, 0, 6.35
2, 1, 3, 1.55
68, 69, 0, 5.55
0, 70, 2, 2.45
71, 72, 2, 4.85
1, 2, 3, 1.5
0, 73, 2, 2.5
74, 2, 2, 5.2
1, 75, 3, 1.7
76, 77, 0, 6.5
1, 2, 0, 5.95
78, 2, 1, 2.75
1, 79, 0, 6.8
80, 81, 2, 5.05
1, 2, 3, 1.9
82, 2, 3, 1.65
1, 2, 3, 1.75
2, 1, 1, 2.35
0, 84, 2, 2.45
1, 85, 2, 4.75
86, 87, 3, 1.7
88, 2, 1, 2.85
89, 2, 0, 5.95
2, 1, 1, 2.35
2, 1, 1, 3
